File name	Artist	Song name
ChhaideuTimi.mid	1974 AD	Chhaideu Timi
DheraiDheraiAauncha.mid	1974 AD	Dherai Dherai Aauncha
JasoGaraJeBhana.mid	1974 AD	Jaso Gara Je Bhana
JungiNishan.mid	1974 AD	Jungi Nishan
MantaMeroNepali.mid	1974 AD	Manta Mero Nepali
Nepali.mid	1974 AD	Nepali
PahiloJunima.mid	1974 AD	Pahilo Junima
Parelima.mid	1974 AD	Parelima
PijadaaKoSuga.mid	1974 AD	Pijadaa Ko Suga
PinjadaKoSuga.mid	1974 AD	Pinjada Ko Suga
Sambhodan.mid	1974 AD	Sambhodan
Sambodhan.mid	1974 AD	Sambodhan
SamjhiBaschhu.mid	1974 AD	Samjhi Baschhu
SaraKhusi.mid	1974 AD	Sara Khusi
SisireJhai.mid	1974 AD	Sisire Jhai
TyoRaatKo.mid	1974 AD	Tyo Raat Ko
TyoRatko.mid	1974 AD	Tyo Ratko
AgeOfAquarius.mid	5th Dimension	Age Of Aquarius
Aquarious.mid	5th Dimension	Aquarious
LastNightIDidntGetToSleepAtAll.mid	5th Dimension	Last Night I Didnt Get To Sleep At All
OneLessBellToAnswere.mid	5th Dimension	One Less Bell To Answere
StonedSoulPicnic.mid	5th Dimension	Stoned Soul Picnic
UpUpAndAway.mid	5th Dimension	Up Up And Away
WeddingBellBlues.mid	5th Dimension	Wedding Bell Blues
BalladForKay.mid	Accoustic Alchemy	Ballad For Kay
NaturalElements.mid	Accoustic Alchemy	Natural Elements
OnTheCase.mid	Accoustic Alchemy	On The Case
PlayingForTime.mid	Accoustic Alchemy	Playing For Time
TheBlueChipBop.mid	Accoustic Alchemy	The Blue Chip Bop
BoogieDown.mid	Al Jarreau	Boogie Down
Moonlighting.mid	Al Jarreau	Moonlighting
Morning.mid	Al Jarreau	Morning
RoofGarden.mid	Al Jarreau	Roof Garden
SinceIFellForYou.mid	Al Jarreau	Since I Fell For You
WereInThisLoveTogether.mid	Al Jarreau	We're In This Love Together
YourSong.mid	Al Jarreau	Your Song
AlJolsonMedley.mid	Al Jolson	Al Jolson Medley
MyMammy.mid	Al Jolson	My Mammy
RockA-ByeMyBaby.mid	Al Jolson	Rock A-Bye My Baby
Swanee.mid	Al Jolson	Swanee
Feelings.mid	Albert Morris	Feelings
AWomansWorth.mid	Alicia Keys	A Womans Worth
Empirestateofmind(partII).mid	Alicia Keys	Empire state of mind (part II)
Fallen.mid	Alicia Keys	Fallen
HowComeYouDontCallAnymore.mid	Alicia Keys	How Come You Don't Call Anymore
IfIAintGotYou.mid	Alicia Keys	If I Ain't Got You
Karma.mid	Alicia Keys	Karma
NeverFeltThisWay.mid	Alicia Keys	Never Felt This Way
YouDontKnowMyName.mid	Alicia Keys	You Don't Know My Name
5To10.mid	Allan Holdsworth	5 To 10
Atavachron.mid	Allan Holdsworth	Atavachron
BlueTango.mid	Amanda Lear	Blue Tango
BackToBlack.mid	Amy Winehouse	Back To Black
LoveIsALosingGame.mid	Amy Winehouse	Love Is A Losing Game
Rehab.mid	Amy Winehouse	Rehab
Valerie.mid	Amy Winehouse	Valerie
YouKnowImNoGood.mid	Amy Winehouse	You Know Im No Good
ATimeForUs.mid	Andy Williams	A Time For Us
CantGetUsedToLosingYou.mid	Andy Williams	Cant Get Used To Losing You
Exodus.mid	Andy Williams	Exodus
ImpossibleDream.mid	Andy Williams	Impossible Dream
LoveStory.mid	Andy Williams	Love Story
Moonriver.mid	Andy Williams	Moonriver
More.mid	Andy Williams	More
SomewhereMyLove.mid	Andy Williams	Somewhere My Love
TheImpossibleDream.mid	Andy Williams	The Impossible Dream
TheSummerKnows.mid	Andy Williams	The Summer Knows
ThereWillNeverBeAnotherYou.mid	Andy Williams	There Will Never Be Another You
WalkOnBy.mid	Andy Williams	Walk On By
GoodEnough.mid	Anita Baker	Good Enough
JustBecause.mid	Anita Baker	Just Because
NoOneInTheWorld.mid	Anita Baker	No One In The World
RaptureofLove.mid	Anita Baker	Rapture of Love
SweetLove.mid	Anita Baker	Sweet Love
AtLast.mid	Aretha Franklin	At Last
ChainOfFools.mid	Aretha Franklin	Chain Of Fools
PinkCadillac.mid	Aretha Franklin	Pink Cadillac
Respect.mid	Aretha Franklin	Respect
Think.mid	Aretha Franklin	Think
YouMakeMeFeelLike.mid	Aretha Franklin	You Make Me Feel Like
AKindOfTherapy.mid	Bad Logic	A Kind Of Therapy
BadGirlDolly.mid	Bad Logic	Bad Girl Dolly
ClearAsTheDark.mid	Bad Logic	Clear As The Dark
Dying.mid	Bad Logic	Dying
HearOnMyOwn.mid	Bad Logic	Hear On My Own
InLoveAgain.mid	Bad Logic	In Love Again
InMyWay.mid	Bad Logic	In My Way
JustAGame.mid	Bad Logic	Just A Game
LovinAllNightLong.mid	Bad Logic	Lovin All Night Long
TheresOnlyOneWayToRock.mid	Bad Logic	Theres Only One Way To Rock
AllIAskOfYou.mid	Barbra Streisand	All I Ask Of You
BeforeThePardadePassesMeBy.mid	Barbra Streisand	Before The Pardade Passes Me By
DontRainOnMyParade.mid	Barbra Streisand	Dont Rain On My Parade
Evergreen.mid	Barbra Streisand	Evergreen
Guilty.mid	Barbra Streisand	Guilty
HappyDaysAreHereAgain.mid	Barbra Streisand	Happy Days Are Here Again
HelloDolly.mid	Barbra Streisand	Hello Dolly
IveNeverBeenInLoveBefore.mid	Barbra Streisand	Ive Never Been In Love Before
LAigleNoir.mid	Barbra Streisand	L Aigle Noir
LuckBeALady.mid	Barbra Streisand	Luck Be A Lady
Memory.mid	Barbra Streisand	Memory
NyStateOfMind.mid	Barbra Streisand	Ny State Of Mind
OverTheRainbow.mid	Barbra Streisand	Over The Rainbow
People.mid	Barbra Streisand	People
SinceIDontHaveYou.mid	Barbra Streisand	Since I Dont Have You
Somewhere.mid	Barbra Streisand	Somewhere
StoneyEnd.mid	Barbra Streisand	Stoney End
TellHim.mid	Barbra Streisand	Tell Him
TheWayWeWere.mid	Barbra Streisand	The Way We Were
UnePetiteCantate.mid	Barbra Streisand	Une Petite Cantate
WhatAKindOfFool.mid	Barbra Streisand	What A Kind Of Fool
WhereYouLead.mid	Barbra Streisand	Where You Lead
WomanInLove.mid	Barbra Streisand	Woman In Love
YouDontBringMeFlowers.mid	Barbra Streisand	You Dont Bring Me Flowers
FlyMetotheMoon.mid	Bart Howard	Fly Me to the Moon
Allthethingsyouare.mid	Bill Evans	All the things you are
AutumnLeaves.mid	Bill Evans	Autumn Leaves
GodBlessTheChild.mid	Blood Sweat And Tears	God Bless The Child
SpinningWheel.mid	Blood Sweat And Tears	Spinning Wheel
YouveMadeMeSoVeryHappy.mid	Blood Sweat And Tears	Youve Made Me So Very Happy
GoingBackHome.mid	Bob Gaynor	Going Back Home
MellowHombre.mid	Bob Gaynor	Mellow Hombre
NewPhunk.mid	Bob Gaynor	New Phunk
NewStLeu.mid	Bob Gaynor	New St Leu
SirJoe.mid	Bob Gaynor	Sir Joe
Angela.mid	Bob James	Angela
CleanSweep.mid	Bobby Broom	Clean Sweep
MoBetterBlues.mid	Branford Marsalis	Mo Better Blues
JumpJiveAndWail.mid	Brian Setzer Orchestra	Jump Jive And Wail
AnotherDay.mid	Bruce Hornsby	Another Day
BuglersDream.mid	Bruce Hornsby	Bugler's Dream
ChinaDoll.mid	Bruce Hornsby	China Doll
CountryDoctor.mid	Bruce Hornsby	Country Doctor
CruiseControl.mid	Bruce Hornsby	Cruise Control
EndoftheInnocence.mid	Bruce Hornsby	End of the Innocence
EveryLittleKiss.mid	Bruce Hornsby	Every Little Kiss
FireontheCross.mid	Bruce Hornsby	Fire on the Cross
HarborLights.mid	Bruce Hornsby	Harbor Lights
LongRace.mid	Bruce Hornsby	Long Race
LookOutAnyWindow.mid	Bruce Hornsby	Look Out Any Window
MandolinRain.mid	Bruce Hornsby	Mandolin Rain
OldPlayground.mid	Bruce Hornsby	Old Playground
PassingThrough.mid	Bruce Hornsby	Passing Through
RestingPlace.mid	Bruce Hornsby	Resting Place
RiverRunsLow.mid	Bruce Hornsby	River Runs Low
ShowGoesOn.mid	Bruce Hornsby	Show Goes On
SpiderFingers.mid	Bruce Hornsby	Spider Fingers
StanderontheMountain.mid	Bruce Hornsby	Stander on the Mountain
TalkoftheTown.mid	Bruce Hornsby	Talk of the Town
TheWayItIs.mid	Bruce Hornsby	The Way It Is
WalkintheSun.mid	Bruce Hornsby	Walk in the Sun
Aquabot.mid	Buckethead	Aquabot
BigSurMoon.mid	Buckethead	Big Sur Moon
BingeAndGrab.mid	Buckethead	Binge And Grab
ChickenFeed.mid	Buckethead	Chicken Feed
EnterTheDragon.mid	Buckethead	Enter The Dragon
GiantRobotLesson.mid	Buckethead	Giant Robot Lesson
HogBitchStomp.mid	Buckethead	Hog Bitch Stomp
I-5Binge.mid	Buckethead	I-5 Binge
JumpMan.mid	Buckethead	Jump Man
KillerFlaminBuddy.mid	Buckethead	Killer Flamin Buddy
NightOfTheSlunk.mid	Buckethead	Night Of The Slunk
NumbNubs.mid	Buckethead	Numb Nubs
PeepShowBinge.mid	Buckethead	Peep Show Binge
PowerRangersTheme.mid	Buckethead	Power Rangers Theme
RevengeWedge.mid	Buckethead	Revenge Wedge
ScoopFromTheCoop.mid	Buckethead	Scoop From The Coop
SomewhereOverTheSlaughterhouse.mid	Buckethead	Somewhere Over The Slaughterhouse
TaxidermyLoaf.mid	Buckethead	Taxidermy Loaf
WelcomeToBucketheadland.mid	Buckethead	Welcome To Bucketheadland
Whitewash.mid	Buckethead	Whitewash
LilyWasHere.mid	Candy Dulfer	Lily Was Here
Saxy.mid	Candy Dulfer	Saxy
Asayake.mid	Casiopea	Asayake
ContinentalWay.mid	Casiopea	Continental Way
Dazzling.mid	Casiopea	Dazzling
EyesOfMind.mid	Casiopea	Eyes Of Mind
Lakai.mid	Casiopea	Lakai
LookingUp.mid	Casiopea	Looking Up
Swear.mid	Casiopea	Swear
BeautifulGirl.mid	Charlie Rich	Beautiful Girl
BehindClosedDoors.mid	Charlie Rich	Behind Closed Doors
ILoveMyFriends.mid	Charlie Rich	I Love My Friends
Shecalledmebaby.mid	Charlie Rich	She called me baby
ALittleBitofBlues.mid	Chet Atkins	A Little Bit of Blues
ALittleMarkMusic.mid	Chet Atkins	A Little Mark Music
Aintchagottired.mid	Chet Atkins	Aint cha got tired
AllIEverNeedIsYou.mid	Chet Atkins	All I Ever Need Is You
AllThumb.mid	Chet Atkins	All Thumb
Amazinggrace.mid	Chet Atkins	Amazing grace
AngelEyes.mid	Chet Atkins	Angel Eyes
AutumnLeaves(LesFeuillesMortes).mid	Chet Atkins	Autumn Leaves (LesFeuilles Mortes)
Avalon.mid	Chet Atkins	Avalon
BackhomeagaininIndiana.mid	Chet Atkins	Back home again in Indiana
BirthOfTheBlues.mid	Chet Atkins	Birth Of The Blues
BlackMountainRag.mid	Chet Atkins	Black Mountain Rag
BlueAngel.mid	Chet Atkins	Blue Angel
Blueocean.mid	Chet Atkins	Blue ocean
BothSidesNow.mid	Chet Atkins	Both Sides Now
CannedHeat.mid	Chet Atkins	Canned Heat
Caravan.mid	Chet Atkins	Caravan
Cascade.mid	Chet Atkins	Cascade
Charade.mid	Chet Atkins	Charade
Cheektocheek.mid	Chet Atkins	Cheek to cheek
Chinatawn.mid	Chet Atkins	Chinatawn
CindyOhCindy.mid	Chet Atkins	Cindy Oh Cindy
CityofNewOrleans.mid	Chet Atkins	City of New Orleans
ClassicalGas.mid	Chet Atkins	Classical Gas
CopperKettle.mid	Chet Atkins	Copper Kettle
CosmicSquareDance.mid	Chet Atkins	Cosmic Square Dance
DizzyFingers.mid	Chet Atkins	Dizzy Fingers
DriveIn.mid	Chet Atkins	Drive In
Entertainer.mid	Chet Atkins	Entertainer
FreightTrain.mid	Chet Atkins	Freight Train
HelloMyBaby.mid	Chet Atkins	Hello My Baby
IllSaySheDoes.mid	Chet Atkins	I ll Say She Does
IfIHadYou.mid	Chet Atkins	If I Had You
IllSeeYouInMyDreams.mid	Chet Atkins	Ill See You In My Dreams
Imagine.mid	Chet Atkins	Imagine
JerrysBreakdown.mid	Chet Atkins	Jerrys Breakdown
LesFeuillesMortes.mid	Chet Atkins	Les Feuilles Mortes
MainStreetBreakdown.mid	Chet Atkins	Main Street Breakdown
ManhaDeCarnaval.mid	Chet Atkins	Manha De Carnaval
Maybelle.mid	Chet Atkins	Maybelle
MisterSandman.mid	Chet Atkins	Mister Sandman
MisterSandman(2).mid	Chet Atkins	Mister Sandman (2)
MrBojangles.mid	Chet Atkins	Mr Bojangles
MusictoWatchGirlsby.mid	Chet Atkins	Music to Watch Girls by
NutSundae.mid	Chet Atkins	Nut Sundae
OchiChornya.mid	Chet Atkins	Ochi Chornya
OhByJingoOhByGee.mid	Chet Atkins	Oh By Jingo Oh By Gee
OneMintJulep.mid	Chet Atkins	One Mint Julep
OverTheWaves.mid	Chet Atkins	Over The Waves
RockyTop.mid	Chet Atkins	Rocky Top
SaltyDog.mid	Chet Atkins	Salty Dog
SilentNight.mid	Chet Atkins	Silent Night
SilentNight(2).mid	Chet Atkins	Silent Night (2)
StLouisBlues.mid	Chet Atkins	St Louis Blues
Struttin.mid	Chet Atkins	Struttin
TakeFive.mid	Chet Atkins	Take Five
TheLastFarewell.mid	Chet Atkins	The Last Farewell
TigerRag.mid	Chet Atkins	Tiger Rag
Trambone.mid	Chet Atkins	Trambone
Vincent.mid	Chet Atkins	Vincent
WabashCannonBall.mid	Chet Atkins	Wabash Cannon Ball
Wheels.mid	Chet Atkins	Wheels
Wheels(2).mid	Chet Atkins	Wheels (2)
Whispering.mid	Chet Atkins	Whispering
WildWoodFlower.mid	Chet Atkins	Wild Wood Flower
WindyAndWarm.mid	Chet Atkins	Windy And Warm
Wobegon.mid	Chet Atkins	Wobegon
YaketyAxe.mid	Chet Atkins	Yakety Axe
YaketyAxe(2).mid	Chet Atkins	Yakety Axe (2)
YaketyAxe(3).mid	Chet Atkins	Yakety Axe (3)
YankeeDoodleDixie.mid	Chet Atkins	Yankee Doodle Dixie
Yesterday.mid	Chet Atkins	Yesterday
YoureGonnaBeSorry.mid	Chet Atkins	Youre Gonna Be Sorry
ZorbaTheGreek.mid	Chet Atkins	Zorba The Greek
CentralParkWest.mid	Chick Corea	Central Park West
ChipBlue.mid	Chick Corea	Chip Blue
CitygateRumble.mid	Chick Corea	Citygate Rumble
LightYear.mid	Chick Corea	Light Year
RomanticWarrior.mid	Chick Corea	Romantic Warrior
Rumble.mid	Chick Corea	Rumble
Sidewalk.mid	Chick Corea	Sidewalk
Spain.mid	Chick Corea	Spain
TwoKids.mid	Chick Corea	Two Kids
Imsorry.mid	Connie Francis	I'm sorry
StupidCupid.mid	Connie Francis	Stupid Cupid
WhosSorryNow.mid	Connie Francis	Who's Sorry Now
CountOnTheBlues.mid	Count Basie	Count On The Blues
Emily.mid	Dave Koz	Emily
PieceOfMyWish.mid	Dave Koz	Piece Of My Wish
YouMakeMeSmile.mid	Dave Koz	You Make Me Smile
FreedomAtMidnight.mid	David Benoit	Freedom At Midnight
SatinDoll.mid	Duke Ellington	Satin Doll
St.LouisBlues.mid	Duke Ellington	St.Louis Blues
TaketheAtrain.mid	Duke Ellington	Take the A train
AfterTheLoveHasGone.mid	Earth Wind And Fire	After The Love Has Gone
BoogieWonderland.mid	Earth Wind And Fire	Boogie Wonderland
Fantasy.mid	Earth Wind And Fire	Fantasy
GotToGetYouIntoMyLife.mid	Earth Wind And Fire	Got To Get You Into My Life
LetsGrooveTonight.mid	Earth Wind And Fire	Lets Groove Tonight
September.mid	Earth Wind And Fire	September
ShiningStar.mid	Earth Wind And Fire	Shining Star
SingASong.mid	Earth Wind And Fire	Sing A Song
SundayMorning.mid	Earth Wind And Fire	Sunday Morning
ThatsTheWayoftheWorld.mid	Earth Wind And Fire	Thats The Way of the World
DontDreamOfAnybodyButMe.mid	Ella Fitzgerald	Dont Dream Of Anybody But Me
DreamaLittleDreamofMe.mid	Ella Fitzgerald	Dream a Little Dream of Me
HowHighTheMoon.mid	Ella Fitzgerald	How High The Moon
ICantGiveYouAnythingButLove.mid	Ella Fitzgerald	I Cant Give You Anything But Love
NightAndDay.mid	Ella Fitzgerald	Night And Day
SomeoneToWatchOverMe.mid	Ella Fitzgerald	Someone To Watch Over Me
Summertime.mid	Ella Fitzgerald	Summertime
Misty.mid	Erroll Garner	Misty
AtLast.mid	Etta James	At Last
DanceWithMeHenry.mid	Etta James	Dance With Me Henry
IdRatherGoBlind.mid	Etta James	Id Rather Go Blind
Criminal.mid	Fiona Apple	Criminal
Shadowboxer.mid	Fiona Apple	Shadowboxer
SleepToDream.mid	Fiona Apple	Sleep To Dream
AintNoWomanLikeTheOneIGot.mid	Four Tops	Aint No Woman Like The One I Got
BabyINeedYourLovin.mid	Four Tops	Baby I Need Your Lovin
Bernadette.mid	Four Tops	Bernadette
CantHelpMyself.mid	Four Tops	Cant Help Myself
DontWalkAwayInTheMusic.mid	Four Tops	Dont Walk Away In The Music
IfIWereACarpenter,IfIHadAHammer.mid	Four Tops	If I Were A Carpenter, If I Had A Hammer
LocoInAcapulco1.mid	Four Tops	Loco In Acapulco 1
LocoInAcapulco2.mid	Four Tops	Loco In Acapulco 2
ReachOut.mid	Four Tops	Reach Out
SameOldSong.mid	Four Tops	Same Old Song
SameOldSong(2).mid	Four Tops	Same Old Song (2)
StandingInTheShadowOfLove.mid	Four Tops	Standing In The Shadow Of Love
WalkAwayRenee.mid	Four Tops	Walk Away Renee
WorkingMyWayBackToYou.mid	Four Tops	Working My Way Back To You
Adayinalifeofafool.mid	Frank Sinatra	A day in a life of a fool
